	13872962
nikon+corporation+nikon+d90	1998637
canon+eos+5d+mark+ii	1896219
nikon+corporation+nikon+d80	1719045
canon+eos+7d	1526158
nikon+corporation+nikon+d40	1358791
canon+eos+40d	1334891
canon+eos+digital+rebel+xti	1232934
canon+eos+400d+digital	1211370
canon+eos+digital+rebel+xt	1207515
nikon+corporation+nikon+d7000	1068591
nikon+corporation+nikon+d300	1053745
nikon+corporation+nikon+d50	1032019
nikon+corporation+nikon+d700	942806
apple+iphone+4	922675
nikon+corporation+nikon+d200	919688
canon+eos+350d+digital	859475
canon+eos+20d	843133
canon+eos+50d	831570
canon+eos+30d	820838
canon+eos+digital+rebel+xsi	774566
canon+eos+60d	772700
apple+iphone+4s	761231
apple+iphone	743735
nikon+corporation+nikon+d70	742591
canon+eos+450d	734838
canon+eos+5d	699381
nikon+corporation+nikon+d60	670160
canon+eos+rebel+t2i	640555
nikon+corporation+nikon+d5000	567871
apple+iphone+5	528638
canon+eos+rebel+t1i	506556
nikon+corporation+nikon+d40x	490462
canon+eos+550d	476754
nikon+corporation+nikon+d70s	474370
nikon+corporation+nikon+d3100	472841
nikon+corporation+nikon+d5100	469713
canon+eos+500d	441809
canon+eos+5d+mark+iii	432059
canon+eos+digital+rebel	431647
canon+powershot+s3+is	426361
nikon+corporation+nikon+d3000	380909
canon+powershot+g9	372935
nikon+corporation+nikon+d300s	353205
nikon+corporation+nikon+d3	340444
canon+eos+rebel+t3i	330899
canon+eos+digital+rebel+xs	330098
apple+iphone+3gs	327397
sony+dslr-a100	297008
sony+cybershot	295461
canon+powershot+s5+is	293673
canon+eos+1000d	287780
canon+powershot+sx30+is	281826
sony+dslr-a200	263489
canon+eos+600d	259439
panasonic+dmc-lx3	259145
canon+powershot+sd1000	252990
canon+powershot+s2+is	239424
pentax+corporation+pentax+k10d	236651
olympus+imaging+corp.+e-500	232258
canon+powershot+g10	226383
canon+eos+rebel+t3	225950
panasonic+dmc-tz5	223378
canon+powershot+sd800+is	218547
nikon+corporation+nikon+d800	215341
canon+eos+300d+digital	214202
canon+powershot+s90	207858
